Row #,Species,Count,Location,S/P,Date,LocID,SubID
67,American Flamingo - Phoenicopterus ruber,300,Riohacha--Camarones [deserts and xeric shrublands],CO-LAG,07 Feb 2014,L2568025,S16995261
68,Andean Flamingo - Phoenicoparrus andinus,4,RN Salinas y Aguada Blanca--Lagunas Las Salinas,PE-ARE,08 Jun 2018,L676972,S46433408
69,James's Flamingo - Phoenicoparrus jamesi,1,RN Salinas y Aguada Blanca--Lagunas Las Salinas,PE-ARE,08 Jun 2018,L676972,S46433408
70,White-tufted Grebe - Rollandia rolland,2,Laguna de Huacarpay,PE-CUS,05 Feb 2012,L492963,S10503463
71,Titicaca Grebe - Rollandia microptera,2,Lago Titicaca--Puno (Valqui 6.1),PE-PUN,27 Dec 2016,L605019,S33241205
72,Least Grebe - Tachybaptus dominicus,2,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
73,Pied-billed Grebe - Podilymbus podiceps,5,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
74,Great Grebe - Podiceps major,3,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
75,Silvery Grebe - Podiceps occipitalis,6,"PE-Cajamarca Region - -7.2305x-78.3374 - Jun 13, 2013, 9:46 AM",PE-CAJ,13 Jun 2013,L2357288,S14415299
76,Junin Grebe - Podiceps taczanowskii,2,RN de Junín--Lago Junín/Chinchaycocha,PE-JUN,09 Jun 2015,L846513,S23840737
77,Rock Pigeon - Columba livia,8,Laguna de Huacarpay,PE-CUS,05 Feb 2012,L492963,S10503463
78,Pale-vented Pigeon - Patagioenas cayennensis,12,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
79,Scaled Pigeon - Patagioenas speciosa,1,Lago Lindo Lodge--Calle Entrada,PE-SAM,17 Jun 2013,L2240922,S14473585
80,Bare-eyed Pigeon - Patagioenas corensis,1,Riohacha--Ebanal--Puente Bomba--Vía Santa Marta - Riohacha (highway),CO-LAG,22 Mar 2013,L2479290,S16050317
81,Spot-winged Pigeon - Patagioenas maculosa,2,Tikapata,PE-CUS,21 Jan 2012,L1436359,S10503461
82,Band-tailed Pigeon - Patagioenas fasciata,1,Cuchilla San Lorenzo,CO-MAG,11 Jan 2013,L2146871,S12570375
83,Peruvian Pigeon - Patagioenas oenops,7,Rio Marañón--Balsas (Dept. Amazonas),PE-AMA,14 Jun 2013,L2237785,S14467249
84,Plumbeous Pigeon - Patagioenas plumbea,3,Manú Cloud Forest Lodge (1500-1700m),PE-CUS,04 May 2012,L1004831,S10700313
85,Ruddy Pigeon - Patagioenas subvinacea,,Carretera a Manú--Pilcopata a Atalaya (500-600m),PE-CUS,05 May 2012,L1004837,S10700382
86,Common Ground Dove - Columbina passerina,3,Riohacha--Camarones [deserts and xeric shrublands],CO-LAG,14 Jan 2014,L2568025,S16417011
87,Plain-breasted Ground Dove - Columbina minuta,2,"PE-Lambayeque Region-Monsefú - -6.8828x-79.8856 - Jun 12, 2013, 8:45 PM",PE-LAM,12 Jun 2013,L2223099,S14408221
88,Ruddy Ground Dove - Columbina talpacoti,1,Carretera a Manú--Patria (600-900m),PE-CUS,01 Aug 2012,L1004836,S11299288
89,Ecuadorian Ground Dove - Columbina buckleyi,2,Hacienda Limon,PE-CAJ,16 May 2014,L493406,S18802431
90,Scaled Dove - Columbina squammata,1,Riohacha--El Ebanal (tollbooth),CO-LAG,20 Feb 2013,L2479279,S16050247
91,Croaking Ground Dove - Columbina cruziana,1,Humedales y Playa de San Pedro,PE-LIM,07 Jul 2012,L623163,S11123826
92,Blue Ground Dove - Claravis pretiosa,1,Morro de Calzada,PE-SAM,16 Jun 2013,L976328,S14473605
93,Maroon-chested Ground Dove - Paraclaravis mondetoura,1,Manú Cloud Forest Lodge (1500-1700m),PE-CUS,07 Aug 2015,L1004831,S24667772
94,Bare-faced Ground Dove - Metriopelia ceciliae,2,Cusco--Cusco--Llaullipata (private reserve),PE-CUS,24 Nov 2011,L1437847,S10503458
95,Black-winged Ground Dove - Metriopelia melanoptera,3,Ondores (pueblo y vecindad),PE-JUN,12 Nov 2013,L664973,S15659668
96,Golden-spotted Ground Dove - Metriopelia aymara,2,Ondores (pueblo y vecindad),PE-JUN,10 Jun 2015,L664973,S23880394
97,Ruddy Quail-Dove - Geotrygon montana,1,Manú Learning Centre--Lodge,PE-MDD,13 Jun 2012,L1599931,S11037554
98,White-tipped Dove - Leptotila verreauxi,1,Santuario Historico Machu Picchu--Avenida Hermanos Ayar,PE-CUS,01 Oct 2012,L1004820,S11787540
99,Gray-chested Dove - Leptotila cassinii,2,RNA Paujil (Dept. Boyaca),CO-BOY,26 Dec 2014,L743897,S21291845
100,Ochre-bellied Dove - Leptotila ochraceiventris,3,Refugio de Vida Silvestre Laquipampa,PE-LAM,04 Jan 2014,L1810924,S16284282
101,Gray-fronted Dove - Leptotila rufaxilla,,Cocha Machuhuasi,PE-MDD,14 Jul 2012,L9403218,S11189730
102,Pallid Dove - Leptotila pallida,5,PN Cerros de Amotape--Estación Policial Campo Verde,PE-TUM,23 Dec 2017,L4320430,S41287944
103,White-throated Quail-Dove - Zentrygon frenata,1,Carretera a Manú--Paso Acjanaco a Wayquecha,PE-CUS,23 Jul 2014,L1004822,S19533041
104,Lined Quail-Dove - Zentrygon linearis,1,RNA Proaves El Dorado--Lodge,CO-MAG,10 Jan 2013,L2141124,S12561060
105,West Peruvian Dove - Zenaida meloda,5,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
106,Eared Dove - Zenaida auriculata,1,Cusco--Cusco--Llaullipata (private reserve),PE-CUS,03 Dec 2011,L1437847,S10503460
107,Greater Ani - Crotophaga major,3,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
108,Smooth-billed Ani - Crotophaga ani,1,C. N. Santa Rosa de Huacaria (613m),PE-CUS,05 May 2012,L1532757,S10700411
109,Groove-billed Ani - Crotophaga sulcirostris,3,Río Lurín,PE-LIM,07 Jul 2012,L1617595,S11123827
110,Striped Cuckoo - Tapera naevia,1,Las Gaviotas,CO-LAG,20 Feb 2013,L2099908,S14661804
111,Pheasant Cuckoo - Dromococcyx phasianellus,1,Puerto Maldonado--Camino Chorrillos,PE-MDD,09 Nov 2016,L2523392,S32446509
112,Pavonine Cuckoo - Dromococcyx pavoninus,2,Manú Wildlife Center (Valqui A5.1),PE-MDD,01 May 2014,L599450,S18252143
113,Rufous-vented Ground-Cuckoo - Neomorphus geoffroyi,1,Romero Rainforest Lodge (300m),PE-MDD,26 Aug 2013,L2350758,S15140187
114,Little Cuckoo - Coccycua minuta,2,Cocha Machuhuasi,PE-MDD,31 Jul 2012,L9403218,S11299279
115,Dwarf Cuckoo - Coccycua pumila,1,Palermo--Camino Km 4,CO-MAG,12 Feb 2015,L2141044,S21788948
116,Squirrel Cuckoo - Piaya cayana,5,C. N. Santa Rosa de Huacaria (613m),PE-CUS,05 May 2012,L1532757,S10700411
117,Black-bellied Cuckoo - Piaya melanogaster,1,Manu Birding Lodge,PE-MDD,24 Sep 2012,L3601096,S11683944
118,Dark-billed Cuckoo - Coccyzus melacoryphus,1,Tambo Blanquillo Nature Reserve--Lodge,PE-MDD,30 Jun 2016,L2487668,S30503134
119,Yellow-billed Cuckoo - Coccyzus americanus,1,Minca (y alrededores/general area),CO-MAG,01 Apr 2015,L1161669,S22871901
120,Gray-capped Cuckoo - Coccyzus lansbergi,1,PN Cerros de Amotape--Estación Policial Cabo Cotrina,PE-TUM,09 Feb 2019,L7516837,S52644050
121,Sand-colored Nighthawk - Chordeiles rupestris,7,Rio Alto Madre de Dios--Amazonia Lodge a Boca Manú,PE-MDD,21 Sep 2012,L1004839,S11683883
122,Lesser Nighthawk - Chordeiles acutipennis,2,Peru along Progresso rd,PE-LAM,11 Jun 2013,L2221672,S14408242
123,Common Nighthawk - Chordeiles minor,1,Manú Wildlife Center (Valqui A5.1),PE-MDD,21 Nov 2018,L599450,S51108940
124,Short-tailed Nighthawk - Lurocalis semitorquatus,1,Manú Wildlife Center--Canopy Tower,PE-MDD,22 Nov 2014,L2352111,S21338559
125,Rufous-bellied Nighthawk - Lurocalis rufiventris,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,21 Aug 2013,L599445,S15129762
126,Blackish Nightjar - Nyctipolus nigrescens,1,ACR Cordillera Escalera--Túnel Tarapoto,PE-SAM,19 May 2014,L2273747,S89061243
127,Band-winged Nightjar - Systellura longirostris,2,Laguna de Huacarpay,PE-CUS,25 Feb 2012,L492963,S10503469
128,Tschudi's Nightjar - Systellura decussata,1,"-12.5865x-76.6675 - Apr 27, 2016, 13:21",PE-LIM,27 Apr 2016,L4540666,S29254099
129,Common Pauraque - Nyctidromus albicollis,1,Manú Learning Centre--Lodge,PE-MDD,12 Jun 2012,L1599931,S11037551
